time, prob_0
5.330000,0.789545
5.340000,0.793606
5.350000,0.797639
5.360000,0.801641
5.370000,0.805614
5.380000,0.809556
5.390000,0.813467
5.400000,0.817346
5.410000,0.821194
5.420000,0.825010
5.430000,0.828793
5.440000,0.832544
5.450000,0.836261
5.460000,0.839944
5.470000,0.843594
5.480000,0.847209
5.490000,0.850790
5.500000,0.854335
5.510000,0.857845
5.520000,0.861319
5.530000,0.864757
5.540000,0.868159
5.550000,0.871523
5.560000,0.874851
5.570000,0.878141
5.580000,0.881393
5.590000,0.884607
5.600000,0.887783
5.610000,0.890920
5.620000,0.894018
5.630000,0.897076
5.640000,0.900095
5.650000,0.903073
5.660000,0.906012
5.670000,0.908910
5.680000,0.911766
5.690000,0.914582
5.700000,0.917356
5.710000,0.920089
5.720000,0.922779
5.730000,0.925428
5.740000,0.928033
5.750000,0.930596
5.760000,0.933116
5.770000,0.935593
5.780000,0.938025
5.790000,0.940415
5.800000,0.942760
5.810000,0.945061
5.820000,0.947317
5.830000,0.949529
5.840000,0.951695
5.850000,0.953817
5.860000,0.955893
5.870000,0.957923
5.880000,0.959908
5.890000,0.961847
5.900000,0.963739
5.910000,0.965585
5.920000,0.967385
5.930000,0.969138
5.940000,0.970844
5.950000,0.972503
5.960000,0.974114
5.970000,0.975679
5.980000,0.977195
5.990000,0.978664
6.000000,0.980085
6.010000,0.981458
6.020000,0.982783
6.030000,0.984060
6.040000,0.985288
6.050000,0.986468
6.060000,0.987599
6.070000,0.988681
6.080000,0.989714
6.090000,0.990699
6.100000,0.991634
6.110000,0.992520
6.120000,0.993357
6.130000,0.994145
6.140000,0.994883
6.150000,0.995572
6.160000,0.996211
6.170000,0.996801
6.180000,0.997341
6.190000,0.997831
6.200000,0.998271
6.210000,0.998662
6.220000,0.999002
6.230000,0.999293
6.240000,0.999534
6.250000,0.999725
6.260000,0.999866
6.270000,0.999957
6.280000,0.999997
6.290000,0.999988
6.300000,0.999929
6.310000,0.999820
6.320000,0.999661
6.330000,0.999452
6.340000,0.999193
6.350000,0.998884
6.360000,0.998526
6.370000,0.998117
6.380000,0.997659
6.390000,0.997150
6.400000,0.996592
6.410000,0.995985
6.420000,0.995328
6.430000,0.994621
6.440000,0.993865
6.450000,0.993059
6.460000,0.992204
6.470000,0.991300
6.480000,0.990347
6.490000,0.989345
6.500000,0.988294
6.510000,0.987194
6.520000,0.986045
6.530000,0.984848
6.540000,0.983602
6.550000,0.982308
6.560000,0.980965
6.570000,0.979575
6.580000,0.978136
6.590000,0.976650
6.600000,0.975116
6.610000,0.973535
6.620000,0.971906
6.630000,0.970230
6.640000,0.968507
6.650000,0.966737
6.660000,0.964921
6.670000,0.963058
6.680000,0.961148
6.690000,0.959193
6.700000,0.957192
6.710000,0.955144
6.720000,0.953052
6.730000,0.950914
6.740000,0.948731
6.750000,0.946503
6.760000,0.944231
6.770000,0.941914
6.780000,0.939553
6.790000,0.937148
6.800000,0.934699
6.810000,0.932206
6.820000,0.929671
6.830000,0.927093
6.840000,0.924471
6.850000,0.921808
6.860000,0.919102
6.870000,0.916354
6.880000,0.913565
