time, prob_0
4.850000,0.884992
4.860000,0.887207
4.870000,0.889427
4.880000,0.891653
4.890000,0.893884
4.900000,0.896117
4.910000,0.898352
4.920000,0.900588
4.930000,0.902824
4.940000,0.905058
4.950000,0.907290
4.960000,0.909518
4.970000,0.911741
4.980000,0.913959
4.990000,0.916169
5.000000,0.918372
5.010000,0.920565
5.020000,0.922748
5.030000,0.924919
5.040000,0.927078
5.050000,0.929224
5.060000,0.931355
5.070000,0.933470
5.080000,0.935569
5.090000,0.937650
5.100000,0.939712
5.110000,0.941754
5.120000,0.943775
5.130000,0.945774
5.140000,0.947751
5.150000,0.949703
5.160000,0.951631
5.170000,0.953533
5.180000,0.955408
5.190000,0.957255
5.200000,0.959074
5.210000,0.960864
5.220000,0.962622
5.230000,0.964350
5.240000,0.966045
5.250000,0.967708
5.260000,0.969336
5.270000,0.970930
5.280000,0.972488
5.290000,0.974010
5.300000,0.975496
5.310000,0.976943
5.320000,0.978352
5.330000,0.979722
5.340000,0.981051
5.350000,0.982341
5.360000,0.983589
5.370000,0.984795
5.380000,0.985959
5.390000,0.987080
5.400000,0.988158
5.410000,0.989191
5.420000,0.990180
5.430000,0.991124
5.440000,0.992022
5.450000,0.992874
5.460000,0.993680
5.470000,0.994438
5.480000,0.995150
5.490000,0.995814
5.500000,0.996430
5.510000,0.996998
5.520000,0.997518
5.530000,0.997988
5.540000,0.998410
5.550000,0.998783
5.560000,0.999106
5.570000,0.999379
5.580000,0.999603
5.590000,0.999777
5.600000,0.999901
5.610000,0.999976
5.620000,1.000000
5.630000,0.999974
5.640000,0.999899
5.650000,0.999773
5.660000,0.999597
5.670000,0.999372
5.680000,0.999097
5.690000,0.998772
5.700000,0.998398
5.710000,0.997975
5.720000,0.997503
5.730000,0.996982
5.740000,0.996413
5.750000,0.995795
5.760000,0.995130
5.770000,0.994417
5.780000,0.993656
5.790000,0.992849
5.800000,0.991996
5.810000,0.991096
5.820000,0.990151
5.830000,0.989161
5.840000,0.988126
5.850000,0.987048
5.860000,0.985925
5.870000,0.984760
5.880000,0.983552
5.890000,0.982303
5.900000,0.981013
5.910000,0.979681
5.920000,0.978311
5.930000,0.976901
5.940000,0.975452
5.950000,0.973966
5.960000,0.972443
5.970000,0.970883
5.980000,0.969288
5.990000,0.967659
6.000000,0.965996
6.010000,0.964299
6.020000,0.962571
6.030000,0.960811
6.040000,0.959021
6.050000,0.957201
6.060000,0.955353
6.070000,0.953477
6.080000,0.951574
6.090000,0.949646
6.100000,0.947692
6.110000,0.945715
6.120000,0.943715
6.130000,0.941693
6.140000,0.939651
6.150000,0.937588
6.160000,0.935507
6.170000,0.933408
6.180000,0.931292
6.190000,0.929161
6.200000,0.927015
6.210000,0.924855
6.220000,0.922683
6.230000,0.920500
6.240000,0.918306
6.250000,0.916104
6.260000,0.913893
6.270000,0.911675
6.280000,0.909452
6.290000,0.907224
6.300000,0.904992
6.310000,0.902757
6.320000,0.900522
6.330000,0.898286
6.340000,0.896051
6.350000,0.893817
6.360000,0.891587
6.370000,0.889362
6.380000,0.887141
6.390000,0.884927
6.400000,0.882720
6.410000,0.880522
6.420000,0.878334
6.430000,0.876157
6.440000,0.873991
6.450000,0.871839
6.460000,0.869701
6.470000,0.867577
6.480000,0.865470
6.490000,0.863381
6.500000,0.861309
6.510000,0.859257
6.520000,0.857226
6.530000,0.855215
6.540000,0.853227
6.550000,0.851263
6.560000,0.849323
6.570000,0.847408
6.580000,0.845519
6.590000,0.843658
6.600000,0.841825
6.610000,0.840021
6.620000,0.838247
6.630000,0.836503
6.640000,0.834792
6.650000,0.833113
6.660000,0.831468
6.670000,0.829857
6.680000,0.828281
6.690000,0.826740
6.700000,0.825237
6.710000,0.823771
6.720000,0.822343
6.730000,0.820953
6.740000,0.819604
6.750000,0.818294
6.760000,0.817025
6.770000,0.815798
6.780000,0.814613
6.790000,0.813471
6.800000,0.812372
6.810000,0.811316
6.820000,0.810305
6.830000,0.809339
6.840000,0.808418
6.850000,0.807543
6.860000,0.806714
6.870000,0.805932
6.880000,0.805197
6.890000,0.804509
6.900000,0.803869
6.910000,0.803278
6.920000,0.802734
6.930000,0.802239
6.940000,0.801793
6.950000,0.801396
6.960000,0.801048
6.970000,0.800750
6.980000,0.800502
6.990000,0.800303
7.000000,0.800154
7.010000,0.800055
7.020000,0.800006
7.030000,0.800007
7.040000,0.800058
7.050000,0.800159
7.060000,0.800309
7.070000,0.800510
7.080000,0.800760
7.090000,0.801060
7.100000,0.801410
7.110000,0.801809
7.120000,0.802257
7.130000,0.802753
7.140000,0.803299
7.150000,0.803892
7.160000,0.804534
7.170000,0.805224
7.180000,0.805960
7.190000,0.806744
7.200000,0.807575
7.210000,0.808452
7.220000,0.809374
7.230000,0.810342
7.240000,0.811355
7.250000,0.812412
7.260000,0.813512
7.270000,0.814656
7.280000,0.815843
7.290000,0.817072
7.300000,0.818342
7.310000,0.819653
7.320000,0.821004
7.330000,0.822395
7.340000,0.823824
7.350000,0.825292
7.360000,0.826797
7.370000,0.828338
7.380000,0.829916
7.390000,0.831528
7.400000,0.833175
7.410000,0.834855
7.420000,0.836567
7.430000,0.838312
7.440000,0.840087
7.450000,0.841892
7.460000,0.843726
7.470000,0.845589
7.480000,0.847478
7.490000,0.849394
7.500000,0.851335
7.510000,0.853301
7.520000,0.855289
7.530000,0.857300
7.540000,0.859333
7.550000,0.861386
7.560000,0.863458
7.570000,0.865548
7.580000,0.867656
7.590000,0.869780
7.600000,0.871919
7.610000,0.874071
7.620000,0.876237
7.630000,0.878415
7.640000,0.880604
7.650000,0.882802
7.660000,0.885009
7.670000,0.887223
7.680000,0.889444
7.690000,0.891670
7.700000,0.893900
7.710000,0.896133
7.720000,0.898369
7.730000,0.900605
7.740000,0.902840
7.750000,0.905075
7.760000,0.907306
7.770000,0.909534
7.780000,0.911758
7.790000,0.913975
7.800000,0.916186
