x,y,z
-0.022312, -0.147273, 0.988844
-0.025351, -0.156678, 0.987324
-0.028578, -0.166004, 0.985711
-0.031991, -0.175247, 0.984005
-0.035588, -0.184403, 0.982206
-0.039366, -0.193466, 0.980317
-0.043326, -0.202433, 0.978337
-0.047463, -0.211299, 0.976268
-0.051777, -0.220059, 0.974112
-0.056265, -0.228708, 0.971868
-0.060924, -0.237244, 0.969538
-0.065754, -0.245661, 0.967123
-0.070750, -0.253955, 0.964625
-0.075911, -0.262122, 0.962044
-0.081234, -0.270158, 0.959383
-0.086716, -0.278059, 0.956642
-0.092355, -0.285821, 0.953822
-0.098148, -0.293440, 0.950926
-0.104092, -0.300912, 0.947954
-0.110184, -0.308234, 0.944908
-0.116420, -0.315402, 0.941790
-0.122799, -0.322412, 0.938601
-0.129316, -0.329261, 0.935342
-0.135968, -0.335945, 0.932016
-0.142752, -0.342461, 0.928624
-0.149665, -0.348806, 0.925167
-0.156704, -0.354977, 0.921648
-0.163863, -0.360970, 0.918068
-0.171141, -0.366783, 0.914429
-0.178533, -0.372412, 0.910733
-0.186036, -0.377855, 0.906982
-0.193646, -0.383109, 0.903177
-0.201359, -0.388172, 0.899320
-0.209172, -0.393040, 0.895414
-0.217080, -0.397713, 0.891460
-0.225079, -0.402186, 0.887460
-0.233166, -0.406458, 0.883417
-0.241336, -0.410527, 0.879332
-0.249586, -0.414390, 0.875207
-0.257910, -0.418047, 0.871045
-0.266306, -0.421494, 0.866847
-0.274769, -0.424731, 0.862616
-0.283294, -0.427755, 0.858353
-0.291877, -0.430566, 0.854061
-0.300515, -0.433161, 0.849742
-0.309202, -0.435540, 0.845399
-0.317935, -0.437700, 0.841032
-0.326709, -0.439643, 0.836645
-0.335519, -0.441365, 0.832240
-0.344362, -0.442866, 0.827819
-0.353233, -0.444146, 0.823384
-0.362127, -0.445204, 0.818937
-0.371039, -0.446040, 0.814480
-0.379967, -0.446652, 0.810017
-0.388904, -0.447041, 0.805548
-0.397847, -0.447207, 0.801077
-0.406791, -0.447149, 0.796605
-0.415731, -0.446868, 0.792134
-0.424664, -0.446363, 0.787668
-0.433584, -0.445635, 0.783208
-0.442488, -0.444684, 0.778756
-0.451370, -0.443510, 0.774315
-0.460227, -0.442115, 0.769887
-0.469053, -0.440499, 0.765473
-0.477845, -0.438663, 0.761077
-0.486598, -0.436607, 0.756701
-0.495308, -0.434333, 0.752346
-0.503970, -0.431842, 0.748015
-0.512580, -0.429135, 0.743710
-0.521134, -0.426214, 0.739433
-0.529627, -0.423079, 0.735186
-0.538056, -0.419733, 0.730972
-0.546415, -0.416177, 0.726792
-0.554702, -0.412413, 0.722649
-0.562911, -0.408442, 0.718545
-0.571038, -0.404268, 0.714481
-0.579080, -0.399891, 0.710460
-0.587032, -0.395315, 0.706484
-0.594891, -0.390540, 0.702554
-0.602653, -0.385571, 0.698674
-0.610313, -0.380409, 0.694844
-0.617868, -0.375056, 0.691066
-0.625314, -0.369516, 0.687343
-0.632647, -0.363791, 0.683676
-0.639864, -0.357885, 0.680068
-0.646961, -0.351799, 0.676519
-0.653935, -0.345538, 0.673033
-0.660782, -0.339103, 0.669609
-0.667498, -0.332500, 0.666251
-0.674081, -0.325730, 0.662960
-0.680526, -0.318797, 0.659737
